provider,within_18_weeks_pct,over_52_weeks_pct,reporting_month,national_within_18_weeks_pct,national_over_52_weeks_pct,source_url,source_system,captured_date
Northumbria Healthcare NHS Foundation Trust,83.9,0.0,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
Royal Berkshire NHS Foundation Trust,83.3,0.1,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
East Suffolk and North Essex NHS Foundation Trust,59.7,0.5,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
North West Anglia NHS Foundation Trust,59.6,0.5,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
Bedfordshire Hospitals NHS Foundation Trust,59.1,1.2,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
Milton Keynes University Hospital NHS Foundation Trust,58.8,2.6,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
York and Scarborough Teaching Hospitals NHS Foundation Trust,58.5,2.0,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
University Hospitals Coventry and Warwickshire NHS Trust,58.3,3.7,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
Medway NHS Foundation Trust,58.0,2.1,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
Great Western Hospitals NHS Foundation Trust,57.9,2.5,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
Hull University Teaching Hospitals NHS Trust,56.0,3.9,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
Northern Care Alliance NHS Foundation Trust,55.9,2.8,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
East Kent Hospitals University NHS Foundation Trust,55.2,3.2,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
Mid And South Essex NHS Foundation Trust,49.8,7.9,2026-07-31,65.4,1.5,https://data.england.nhs.uk/providers/acute-provider-table,NHS England Public Data Gateway,2026-09-15
